"User_id"; "Class"; "ServerTime"; "Iteraction"; "Name"; "Piece"; "Target"; "Coordinates(cd1)"; "Timestamp(cd2)"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:09"; "Player"; "FreezeEnd"; NULL; NULL; "-43,56247|-1,192093E-07|98,97763"; "69"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:09"; "Player"; "MovementEnd"; NULL; NULL; "-43,56248|-1,788139E-07|98,97764"; "69"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:11"; "Player"; "TrackStats"; NULL; NULL; "-43,56267|-5,960464E-08|98,97784"; "70"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:15"; "Player"; "FreezeStart"; "(1,0, -0,1, -0,3)"; NULL; "-43,56126|0|98,98448"; "75"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:16"; "Player"; "TrackStats"; NULL; NULL; "-43,56117|-1,192093E-07|98,98454"; "75"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:16"; "Player"; "FreezeEnd"; NULL; NULL; "-43,561|-5,960464E-08|98,98602"; "76"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:19"; "Player"; "FreezeStart"; "(1,0, -0,1, -0,2)"; NULL; "-43,56101|-5,960464E-08|98,98607"; "79"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:21"; "Player"; "TrackStats"; NULL; NULL; "-43,56101|-5,960464E-08|98,98607"; "80"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:26"; "Player"; "TrackStats"; NULL; NULL; "-43,56101|-5,960464E-08|98,98607"; "85"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:31"; "Player"; "TrackStats"; NULL; NULL; "-43,56101|-5,960464E-08|98,98607"; "90"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:36"; "Player"; "TrackStats"; NULL; NULL; "-43,56101|-5,960464E-08|98,98607"; "95"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:37"; "Player"; "FreezeEnd"; NULL; NULL; "-43,59153|-1,192093E-07|98,94819"; "96"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:41"; "Player"; "TrackStats"; NULL; NULL; "-43,54781|5,960464E-08|98,95983"; "100"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:43"; "Player"; "FreezeStart"; "(1,0, -0,1, -0,2)"; NULL; "-43,54791|5,960464E-08|98,96005"; "102"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:45"; "Player"; "FreezeEnd"; NULL; NULL; "-43,62344|-2,384186E-07|98,90794"; "104"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:46"; "Player"; "TrackStats"; NULL; NULL; "-43,70214|-1,788139E-07|98,95072"; "105"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:51"; "Player"; "TrackStats"; NULL; NULL; "-43,58917|-1,788139E-07|99,02934"; "110"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:56"; "Player"; "TrackStats"; NULL; NULL; "-43,6137|-1,192093E-07|99,00866"; "115"
"255f7c"; "COMMANDO"; "2021-09-02 07:06:57"; "Player"; "FreezeStart"; "(0,7, -0,1, -0,7)"; NULL; "-43,6137|-1,192093E-07|99,00866"; "116"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:01"; "Player"; "TrackStats"; NULL; NULL; "-43,6137|-1,192093E-07|99,00866"; "120"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:04"; "Player"; "FreezeEnd"; NULL; NULL; "-43,59988|-1,788139E-07|99,02885"; "123"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:05"; "Player"; "FreezeStart"; "(0,9, -0,1, -0,4)"; NULL; "-43,59988|-1,788139E-07|99,02885"; "124"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:06"; "Player"; "TrackStats"; NULL; NULL; "-43,59988|-1,788139E-07|99,02885"; "125"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:11"; "Player"; "TrackStats"; NULL; NULL; "-43,59988|-1,788139E-07|99,02885"; "130"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:16"; "Player"; "TrackStats"; NULL; NULL; "-43,59988|-1,788139E-07|99,02885"; "135"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:21"; "Player"; "TrackStats"; NULL; NULL; "-43,59988|-1,788139E-07|99,02885"; "140"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:26"; "Player"; "TrackStats"; NULL; NULL; "-43,59988|-1,788139E-07|99,02885"; "145"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:31"; "Player"; "TrackStats"; NULL; NULL; "-43,59988|-1,788139E-07|99,02885"; "150"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:36"; "Player"; "TrackStats"; NULL; NULL; "-43,59988|-1,788139E-07|99,02885"; "155"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:41"; "Player"; "TrackStats"; NULL; NULL; "-43,59988|-1,788139E-07|99,02885"; "160"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:46"; "Player"; "TrackStats"; NULL; NULL; "-43,59988|-1,788139E-07|99,02885"; "165"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:51"; "Player"; "TrackStats"; NULL; NULL; "-43,59988|-1,788139E-07|99,02885"; "170"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:53"; "Player"; "FreezeEnd"; NULL; NULL; "-43,58781|-5,960464E-08|99,05878"; "172"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:55"; "Player"; "FreezeStart"; "(1,0, -0,1, -0,1)"; NULL; "-43,58784|-1,192093E-07|99,05846"; "174"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:56"; "Player"; "TrackStats"; NULL; NULL; "-43,58825|0|99,05541"; "175"
"255f7c"; "COMMANDO"; "2021-09-02 07:07:56"; "Player"; "FreezeEnd"; NULL; NULL; "-43,58818|1,192093E-07|99,05405"; "175"
